Date of Sighting,Latitude of Sighting,Longitude of Sighting,Nearest Approximate City,US State,Notes about the sighting,Time of Day,Tag of Apparition,Image Link
2023-10-04,27.778376,-82.217226,Tampa,Florida,Glowing orb photographed in backyard.,Evening,Orbs,
2024-04-04,28.004373,-81.215821,Orlando,Florida,Old radio emitted static and a faint melody.,Afternoon,Poltergeist,https://cdn.midjourney.com/2519c7d3-5e9e-4691-8bad-a83ed41a3cb1/0_0.png
2021-07-05,29.495534,-95.780377,Houston,Texas,Flickering streetlamp coincided with sighting.,Afternoon,Phantom Sounds,https://cdn.midjourney.com/2519c7d3-5e9e-4691-8bad-a83ed41a3cb1/0_0.png
2021-08-01,29.697752,-95.245581,Houston,Texas,Old radio emitted static and a faint melody.,Afternoon,Full-Body Apparition,https://cdn.midjourney.com/2519c7d3-5e9e-4691-8bad-a83ed41a3cb1/0_3.png
2023-06-16,25.795358,-80.214166,Miami,Florida,Flickering streetlamp coincided with sighting.,Midnight,Orbs,https://cdn.midjourney.com/8b1e424a-b365-4c8e-9853-603b893d780a/0_3.png
2023-01-04,29.529146,-98.104626,San Antonio,Texas,Flickering streetlamp coincided with sighting.,Evening,Phantom Sounds,https://cdn.midjourney.com/d442d607-bfd7-4012-990c-fff219d116fc/0_2.png
2023-12-03,44.991465,-93.909268,Minneapolis,Minnesota,Witness reported cold spots and flickering lights.,Morning,Poltergeist,
2021-06-28,32.670082,-97.189188,Dallas,Texas,Local dog barking frantically before sighting.,Midnight,Poltergeist,https://cdn.midjourney.com/9ebab934-da2d-4041-90c2-dc375e3728da/0_3.png
2021-09-28,43.145199,-87.831316,Milwaukee,Wisconsin,Apparition matched description of local legend.,Dawn,Orbs,https://cdn.midjourney.com/315d8dd8-0ac0-4935-9e0e-39cd7f4a0c00/0_3.png
2023-07-05,27.92696,-82.580146,Tampa,Florida,Phantom footsteps heard in empty hallway.,Night,Shadow Figure,https://cdn.midjourney.com/f4eb59bf-e6a9-47f8-9a00-769309f0403b/0_3.png
2024-02-01,25.98466,-80.768127,Miami,Florida,Apparition matched description of local legend.,Midnight,Shadow Figure,https://cdn.midjourney.com/6c1d34b3-77c9-4475-a67e-5afffc90b88b/0_3.png
2022-08-29,38.602682,-90.187646,St. Louis,Missouri,Phantom footsteps heard in empty hallway.,Dawn,Full-Body Apparition,
2024-05-10,42.006814,-87.929592,Chicago,Illinois,Curtains moved though windows were shut.,Afternoon,Orbs,https://cdn.midjourney.com/7f74bbd0-d240-4d74-bb2a-6330b163a3f6/0_2.png
2025-08-13,29.470295,-98.424891,San Antonio,Texas,Scent of old perfume noticed with no source.,Midnight,Orbs,
2024-08-27,25.156033,-80.440249,Miami,Florida,Figure disappeared upon approach.,Afternoon,Phantom Sounds,https://cdn.midjourney.com/3cf03f49-9828-4ae6-ad23-27e54684740e/0_0.png
2023-07-25,29.497283,-95.681606,Houston,Texas,Electronic devices malfunctioned during sighting.,Evening,Headless Spirit,https://cdn.midjourney.com/3cf03f49-9828-4ae6-ad23-27e54684740e/0_2.png
2023-08-28,28.584727,-81.530676,Orlando,Florida,Flickering streetlamp coincided with sighting.,Afternoon,Full-Body Apparition,https://cdn.midjourney.com/c8b325d2-ed83-40b4-8825-34f61c53d744/0_0.png
2020-11-28,29.807152,-95.384318,Houston,Texas,Scent of old perfume noticed with no source.,Dawn,Poltergeist,https://cdn.midjourney.com/2519c7d3-5e9e-4691-8bad-a83ed41a3cb1/0_1.png
2021-05-02,29.063518,-80.752366,Orlando,Florida,Local dog barking frantically before sighting.,Dawn,Orbs,
2021-09-11,29.803572,-95.50203,Houston,Texas,Flickering streetlamp coincided with sighting.,Dawn,Headless Spirit,
2024-03-22,29.507224,-98.692896,San Antonio,Texas,Apparition matched description of local legend.,Morning,Orbs,https://cdn.midjourney.com/264110e6-20e4-4b2a-bf2d-cec6478fec84/0_0.png
2024-10-09,32.721313,-96.839425,Dallas,Texas,Witness reported cold spots and flickering lights.,Midnight,Orbs,https://cdn.midjourney.com/13275d75-635c-44d1-8170-b1c9a40f70c2/0_2.png
2021-10-09,29.841736,-95.441686,Houston,Texas,Phantom footsteps heard in empty hallway.,Morning,Headless Spirit,https://cdn.midjourney.com/264110e6-20e4-4b2a-bf2d-cec6478fec84/0_2.png
2021-08-26,38.593387,-89.939294,St. Louis,Missouri,Witness reported cold spots and flickering lights.,Dawn,White Lady,
2023-07-06,41.269534,-96.126068,Omaha,Nebraska,Glowing orb photographed in backyard.,Dawn,Orbs,https://cdn.midjourney.com/8b1e424a-b365-4c8e-9853-603b893d780a/0_3.png
2022-07-15,39.850829,-83.279958,Columbus,Ohio,Old radio emitted static and a faint melody.,Midnight,Orbs,
2020-11-23,41.050184,-89.647877,Peoria,Illinois,Witness reported cold spots and flickering lights.,Midnight,Shadow Figure,https://cdn.midjourney.com/3e0859e1-71b5-4435-a31c-4a856d9076de/0_2.png
2025-05-02,29.685845,-90.258964,New Orleans,Louisiana,Apparition matched description of local legend.,Morning,White Lady,
2022-05-12,43.031446,-87.999177,Milwaukee,Wisconsin,Old radio emitted static and a faint melody.,Afternoon,Phantom Sounds,
2023-11-15,40.162008,-86.403699,Indianapolis,Indiana,Apparition seen floating near old church grounds.,Morning,Orbs,https://cdn.midjourney.com/13275d75-635c-44d1-8170-b1c9a40f70c2/0_3.png
2021-10-29,29.55016,-95.162829,Houston,Texas,Witness captured blurry image on phone.,Afternoon,Phantom Sounds,https://cdn.midjourney.com/264110e6-20e4-4b2a-bf2d-cec6478fec84/0_1.png
2023-04-27,38.60588,-90.132591,St. Louis,Missouri,Curtains moved though windows were shut.,Evening,Orbs,https://cdn.midjourney.com/3e0859e1-71b5-4435-a31c-4a856d9076de/0_0.png
2022-02-07,41.772914,-87.529084,Chicago,Illinois,Temperature dropped suddenly by 10°F.,Morning,Full-Body Apparition,
2022-05-02,44.959714,-93.268863,Minneapolis,Minnesota,Witness reported cold spots and flickering lights.,Midnight,Shadow Figure,
2022-10-07,30.380816,-97.509022,Austin,Texas,Witness reported cold spots and flickering lights.,Morning,Full-Body Apparition,
2023-08-19,41.6229,-93.773424,Des Moines,Iowa,Scent of old perfume noticed with no source.,Morning,Poltergeist,https://cdn.midjourney.com/ffba09ea-d1b0-419a-8a75-4d7e5a9770d2/0_1.png
2023-10-18,39.433858,-86.153181,Indianapolis,Indiana,Apparition seen floating near old church grounds.,Dawn,Poltergeist,https://cdn.midjourney.com/6c1d34b3-77c9-4475-a67e-5afffc90b88b/0_3.png
2020-12-27,32.905818,-96.486357,Dallas,Texas,Curtains moved though windows were shut.,Afternoon,White Lady,https://cdn.midjourney.com/3cf03f49-9828-4ae6-ad23-27e54684740e/0_0.png
2022-09-20,40.743355,-89.576336,Peoria,Illinois,Curtains moved though windows were shut.,Morning,Phantom Sounds,https://cdn.midjourney.com/c8b325d2-ed83-40b4-8825-34f61c53d744/0_3.png
2022-06-04,32.511666,-89.98233,Jackson,Mississippi,Local dog barking frantically before sighting.,Afternoon,Shadow Figure,
2023-11-04,29.969291,-95.014515,Houston,Texas,Witness captured blurry image on phone.,Dawn,White Lady,https://cdn.midjourney.com/315d8dd8-0ac0-4935-9e0e-39cd7f4a0c00/0_1.png
2025-05-13,26.013124,-80.294272,Miami,Florida,Flickering streetlamp coincided with sighting.,Afternoon,Full-Body Apparition,https://cdn.midjourney.com/90895f4f-c3a6-4faf-b2ee-b7a9ec71d9cd/0_0.png
2023-09-22,40.762886,-89.365048,Peoria,Illinois,Witness reported cold spots and flickering lights.,Night,Phantom Sounds,
2025-03-06,25.625814,-80.745208,Miami,Florida,Scent of old perfume noticed with no source.,Midnight,Shadow Figure,https://cdn.midjourney.com/c8b325d2-ed83-40b4-8825-34f61c53d744/0_0.png
2021-10-17,29.621293,-98.633577,San Antonio,Texas,Local dog barking frantically before sighting.,Midnight,Orbs,
2023-03-22,30.02317,-89.810308,New Orleans,Louisiana,Old radio emitted static and a faint melody.,Afternoon,Full-Body Apparition,
2022-12-25,30.222881,-88.977791,Gulfport,Mississippi,Witness reported cold spots and flickering lights.,Night,Shadow Figure,https://cdn.midjourney.com/c8b325d2-ed83-40b4-8825-34f61c53d744/0_1.png
2021-04-28,39.842353,-83.126522,Columbus,Ohio,Old radio emitted static and a faint melody.,Evening,Phantom Sounds,
2025-03-26,30.24132,-97.748339,Austin,Texas,Disembodied voice whispered a name.,Midnight,Headless Spirit,https://cdn.midjourney.com/f4eb59bf-e6a9-47f8-9a00-769309f0403b/0_0.png
2025-06-18,30.804005,-87.798216,Mobile,Alabama,Local dog barking frantically before sighting.,Morning,Shadow Figure,https://cdn.midjourney.com/6c1d34b3-77c9-4475-a67e-5afffc90b88b/0_1.png
2025-06-09,34.228133,-117.724247,Los Angeles,California,Scent of old perfume noticed with no source.,Dawn,Phantom Sounds,https://cdn.midjourney.com/7f74bbd0-d240-4d74-bb2a-6330b163a3f6/0_3.png
2023-08-27,44.810345,-93.300947,Minneapolis,Minnesota,Temperature dropped suddenly by 10°F.,Dawn,Shadow Figure,https://cdn.midjourney.com/d442d607-bfd7-4012-990c-fff219d116fc/0_0.png
2024-06-28,32.243126,-90.166663,Jackson,Mississippi,Electronic devices malfunctioned during sighting.,Evening,Shadow Figure,https://cdn.midjourney.com/c8b325d2-ed83-40b4-8825-34f61c53d744/0_2.png
2025-08-24,30.020292,-89.784996,New Orleans,Louisiana,Witness reported cold spots and flickering lights.,Night,Poltergeist,
2024-05-20,30.703207,-88.044575,Mobile,Alabama,Temperature dropped suddenly by 10°F.,Evening,Poltergeist,
2025-06-25,36.05088,-114.986283,Las Vegas,Nevada,Phantom footsteps heard in empty hallway.,Afternoon,White Lady,https://cdn.midjourney.com/6c1d34b3-77c9-4475-a67e-5afffc90b88b/0_1.png
2021-12-01,41.467903,-80.880012,Cleveland,Ohio,Apparition matched description of local legend.,Dawn,Phantom Sounds,
2021-08-08,30.798925,-87.626704,Mobile,Alabama,Curtains moved though windows were shut.,Evening,Orbs,
2021-01-03,30.345375,-97.924801,Austin,Texas,Curtains moved though windows were shut.,Afternoon,Phantom Sounds,https://cdn.midjourney.com/264110e6-20e4-4b2a-bf2d-cec6478fec84/0_0.png
2023-07-08,28.333831,-81.548591,Orlando,Florida,Witness reported cold spots and flickering lights.,Dawn,Phantom Sounds,https://cdn.midjourney.com/f4eb59bf-e6a9-47f8-9a00-769309f0403b/0_3.png
2025-02-02,44.939447,-93.400693,Minneapolis,Minnesota,Apparition seen floating near old church grounds.,Afternoon,Phantom Sounds,
2021-08-01,41.203435,-95.951184,Omaha,Nebraska,Disembodied voice whispered a name.,Dawn,Headless Spirit,
2020-12-07,32.266684,-90.013844,Jackson,Mississippi,Apparition matched description of local legend.,Evening,Shadow Figure,
2025-03-31,30.616838,-91.576263,Baton Rouge,Louisiana,Local dog barking frantically before sighting.,Night,Poltergeist,
2024-06-13,40.651067,-89.577917,Peoria,Illinois,Witness reported cold spots and flickering lights.,Night,Poltergeist,https://cdn.midjourney.com/d442d607-bfd7-4012-990c-fff219d116fc/0_0.png
2022-04-13,41.947883,-87.883068,Chicago,Illinois,Flickering streetlamp coincided with sighting.,Night,Headless Spirit,https://cdn.midjourney.com/2519c7d3-5e9e-4691-8bad-a83ed41a3cb1/0_2.png
2022-11-28,40.741382,-90.110865,Peoria,Illinois,Old radio emitted static and a faint melody.,Afternoon,Phantom Sounds,https://cdn.midjourney.com/8b1e424a-b365-4c8e-9853-603b893d780a/0_2.png
2024-11-16,39.79774,-86.147332,Indianapolis,Indiana,Flickering streetlamp coincided with sighting.,Evening,Poltergeist,
2023-08-08,38.652017,-90.222189,St. Louis,Missouri,Phantom footsteps heard in empty hallway.,Evening,White Lady,https://cdn.midjourney.com/ffba09ea-d1b0-419a-8a75-4d7e5a9770d2/0_2.png
2021-09-09,41.82127,-87.708279,Chicago,Illinois,Witness captured blurry image on phone.,Morning,Phantom Sounds,
2024-10-30,44.918209,-93.327558,Minneapolis,Minnesota,Phantom footsteps heard in empty hallway.,Midnight,Full-Body Apparition,
2025-08-20,42.177684,-87.455289,Chicago,Illinois,Apparition matched description of local legend.,Dawn,Poltergeist,https://cdn.midjourney.com/8b1e424a-b365-4c8e-9853-603b893d780a/0_2.png
2025-02-24,29.882281,-89.987315,New Orleans,Louisiana,Temperature dropped suddenly by 10°F.,Afternoon,Shadow Figure,https://cdn.midjourney.com/8b1e424a-b365-4c8e-9853-603b893d780a/0_2.png
2022-07-21,41.836596,-93.496596,Des Moines,Iowa,Apparition seen floating near old church grounds.,Afternoon,Phantom Sounds,https://cdn.midjourney.com/8b1e424a-b365-4c8e-9853-603b893d780a/0_2.png
2021-02-10,29.372258,-98.511128,San Antonio,Texas,Curtains moved though windows were shut.,Night,White Lady,https://cdn.midjourney.com/f4eb59bf-e6a9-47f8-9a00-769309f0403b/0_0.png
2021-07-15,29.35396,-98.681663,San Antonio,Texas,Glowing orb photographed in backyard.,Dawn,Orbs,https://cdn.midjourney.com/3cf03f49-9828-4ae6-ad23-27e54684740e/0_0.png
2023-01-17,33.031108,-96.834972,Dallas,Texas,Curtains moved though windows were shut.,Afternoon,Orbs,https://cdn.midjourney.com/13275d75-635c-44d1-8170-b1c9a40f70c2/0_3.png
2021-08-19,29.784644,-95.201429,Houston,Texas,Phantom footsteps heard in empty hallway.,Night,Full-Body Apparition,https://cdn.midjourney.com/2519c7d3-5e9e-4691-8bad-a83ed41a3cb1/0_0.png
2024-01-19,33.506578,-87.03972,Birmingham,Alabama,Phantom footsteps heard in empty hallway.,Morning,Orbs,
2025-01-11,43.515969,-88.785197,Milwaukee,Wisconsin,Scent of old perfume noticed with no source.,Dawn,Full-Body Apparition,https://cdn.midjourney.com/3cf03f49-9828-4ae6-ad23-27e54684740e/0_3.png
2021-08-14,39.603546,-86.042185,Indianapolis,Indiana,Witness captured blurry image on phone.,Night,Orbs,https://cdn.midjourney.com/8b1e424a-b365-4c8e-9853-603b893d780a/0_3.png
2021-09-04,37.603643,-97.126088,Wichita,Kansas,Local dog barking frantically before sighting.,Afternoon,Poltergeist,https://cdn.midjourney.com/264110e6-20e4-4b2a-bf2d-cec6478fec84/0_1.png
2021-08-23,39.569241,-86.276833,Indianapolis,Indiana,Temperature dropped suddenly by 10°F.,Midnight,Full-Body Apparition,
2023-08-19,31.006352,-88.46363,Mobile,Alabama,Temperature dropped suddenly by 10°F.,Evening,Poltergeist,https://cdn.midjourney.com/8b1e424a-b365-4c8e-9853-603b893d780a/0_3.png
2024-01-18,41.78999,-93.404115,Des Moines,Iowa,Curtains moved though windows were shut.,Midnight,Orbs,
2022-01-13,41.779028,-87.413225,Chicago,Illinois,Figure disappeared upon approach.,Midnight,Orbs,https://cdn.midjourney.com/3e0859e1-71b5-4435-a31c-4a856d9076de/0_0.png
2022-07-20,39.889562,-86.134314,Indianapolis,Indiana,Temperature dropped suddenly by 10°F.,Afternoon,Full-Body Apparition,https://cdn.midjourney.com/8b1e424a-b365-4c8e-9853-603b893d780a/0_2.png
2023-06-24,36.024875,-115.215358,Las Vegas,Nevada,Apparition matched description of local legend.,Afternoon,Poltergeist,https://cdn.midjourney.com/315d8dd8-0ac0-4935-9e0e-39cd7f4a0c00/0_3.png
2021-06-16,43.046875,-87.502895,Milwaukee,Wisconsin,Curtains moved though windows were shut.,Night,Full-Body Apparition,https://cdn.midjourney.com/6c1d34b3-77c9-4475-a67e-5afffc90b88b/0_1.png
2025-07-14,32.403569,-96.883358,Dallas,Texas,Temperature dropped suddenly by 10°F.,Morning,Phantom Sounds,https://cdn.midjourney.com/3cf03f49-9828-4ae6-ad23-27e54684740e/0_1.png
2025-06-08,42.057216,-87.616684,Chicago,Illinois,Flickering streetlamp coincided with sighting.,Morning,Full-Body Apparition,
2024-07-15,32.328757,-90.068277,Jackson,Mississippi,Disembodied voice whispered a name.,Morning,Full-Body Apparition,
2023-01-26,32.48392,-96.998382,Dallas,Texas,Flickering streetlamp coincided with sighting.,Dawn,Poltergeist,https://cdn.midjourney.com/7f74bbd0-d240-4d74-bb2a-6330b163a3f6/0_1.png
2020-10-17,39.978369,-83.064447,Columbus,Ohio,Phantom footsteps heard in empty hallway.,Afternoon,Orbs,https://cdn.midjourney.com/ffba09ea-d1b0-419a-8a75-4d7e5a9770d2/0_1.png
2022-03-17,40.400892,-89.342912,Peoria,Illinois,Witness captured blurry image on phone.,Dawn,Full-Body Apparition,https://cdn.midjourney.com/d442d607-bfd7-4012-990c-fff219d116fc/0_2.png
2024-11-28,30.398738,-97.76612,Austin,Texas,Curtains moved though windows were shut.,Night,Shadow Figure,
2023-01-22,30.025514,-90.151915,New Orleans,Louisiana,Phantom footsteps heard in empty hallway.,Morning,White Lady,https://cdn.midjourney.com/8b1e424a-b365-4c8e-9853-603b893d780a/0_0.png
2024-09-17,30.483988,-97.859404,Austin,Texas,Witness captured blurry image on phone.,Morning,Orbs,https://cdn.midjourney.com/2519c7d3-5e9e-4691-8bad-a83ed41a3cb1/0_0.png
2025-04-03,30.230473,-88.855541,Gulfport,Mississippi,Curtains moved though windows were shut.,Evening,Shadow Figure,https://cdn.midjourney.com/8b1e424a-b365-4c8e-9853-603b893d780a/0_3.png
2024-11-22,39.684693,-85.823677,Indianapolis,Indiana,Apparition seen floating near old church grounds.,Dawn,Poltergeist,https://cdn.midjourney.com/ffba09ea-d1b0-419a-8a75-4d7e5a9770d2/0_3.png
2021-04-28,33.968135,-117.871432,Los Angeles,California,Apparition seen floating near old church grounds.,Evening,White Lady,
2023-05-23,36.547388,-115.092764,Las Vegas,Nevada,Phantom footsteps heard in empty hallway.,Evening,Phantom Sounds,
2025-08-07,41.437406,-81.264797,Cleveland,Ohio,Witness captured blurry image on phone.,Evening,Poltergeist,https://cdn.midjourney.com/9ebab934-da2d-4041-90c2-dc375e3728da/0_2.png
2023-04-22,41.856562,-87.719818,Chicago,Illinois,Flickering streetlamp coincided with sighting.,Morning,Full-Body Apparition,https://cdn.midjourney.com/2519c7d3-5e9e-4691-8bad-a83ed41a3cb1/0_3.png
2022-08-22,29.844366,-90.038289,New Orleans,Louisiana,Witness reported cold spots and flickering lights.,Afternoon,Phantom Sounds,https://cdn.midjourney.com/d442d607-bfd7-4012-990c-fff219d116fc/0_0.png
2024-01-14,40.091313,-104.959532,Denver,Colorado,Figure disappeared upon approach.,Afternoon,Orbs,
2023-08-18,41.562696,-93.715024,Des Moines,Iowa,Flickering streetlamp coincided with sighting.,Evening,Phantom Sounds,https://cdn.midjourney.com/264110e6-20e4-4b2a-bf2d-cec6478fec84/0_1.png
2023-10-16,29.622756,-95.265213,Houston,Texas,Electronic devices malfunctioned during sighting.,Evening,White Lady,
2021-12-19,39.726729,-85.642469,Indianapolis,Indiana,Apparition seen floating near old church grounds.,Dawn,Full-Body Apparition,https://cdn.midjourney.com/3e0859e1-71b5-4435-a31c-4a856d9076de/0_2.png
2021-06-17,27.997363,-82.449494,Tampa,Florida,Apparition seen floating near old church grounds.,Afternoon,Shadow Figure,https://cdn.midjourney.com/7f74bbd0-d240-4d74-bb2a-6330b163a3f6/0_2.png
2021-05-13,39.860292,-85.984526,Indianapolis,Indiana,Apparition seen floating near old church grounds.,Morning,Shadow Figure,
2022-04-09,30.142487,-90.661814,New Orleans,Louisiana,Apparition seen floating near old church grounds.,Afternoon,White Lady,https://cdn.midjourney.com/9ebab934-da2d-4041-90c2-dc375e3728da/0_3.png
2022-01-02,32.666873,-96.937869,Dallas,Texas,Apparition seen floating near old church grounds.,Midnight,Shadow Figure,https://cdn.midjourney.com/264110e6-20e4-4b2a-bf2d-cec6478fec84/0_0.png
2025-04-11,41.92462,-87.439458,Chicago,Illinois,Phantom footsteps heard in empty hallway.,Morning,Headless Spirit,https://cdn.midjourney.com/7f74bbd0-d240-4d74-bb2a-6330b163a3f6/0_1.png
2024-07-21,40.587727,-73.932082,New York,New York,Witness reported cold spots and flickering lights.,Dawn,Shadow Figure,
2024-08-16,41.284716,-93.700293,Des Moines,Iowa,Electronic devices malfunctioned during sighting.,Night,White Lady,https://cdn.midjourney.com/9ebab934-da2d-4041-90c2-dc375e3728da/0_2.png
2020-11-18,29.887005,-89.768113,New Orleans,Louisiana,Scent of old perfume noticed with no source.,Morning,Orbs,
2024-04-03,39.982231,-86.006164,Indianapolis,Indiana,Phantom footsteps heard in empty hallway.,Midnight,White Lady,https://cdn.midjourney.com/7f74bbd0-d240-4d74-bb2a-6330b163a3f6/0_0.png
2024-09-04,40.064864,-104.572024,Denver,Colorado,Phantom footsteps heard in empty hallway.,Evening,Phantom Sounds,https://cdn.midjourney.com/3e0859e1-71b5-4435-a31c-4a856d9076de/0_2.png
